name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,create_time,lat,lng
CGV 피카디리1958,B3,영화관,4.37,0,서울,종로구,돈화문로5가길,1 피카디리플러스,jongno,1544-1122,2023-08-20 16:44:13,126.9912405,37.5710346
CGV 동대문,B3,영화관,4.37,0,서울,중구,장충단로13길,20 현대시티아울렛 10층,jongno,1544-1122,2023-08-20 16:44:13,127.0076665,37.5687346
CGV 대학로,B3,영화관,4.38,0,서울,종로구,대명길,28 대학로CGV,jongno,1544-1122,2023-08-20 16:44:13,126.9998451,37.5834877
롯데시네마 에비뉴엘,B3,영화관,4.35,0,서울,중구,남대문로,73 AVENUEL,jongno,1544-8855,2023-08-20 16:44:13,126.9817070,37.5641952
씨네큐브광화문,B3,영화관,4.37,0,서울,종로구,새문안로,68,jongno,02-2002-7776,2023-08-20 16:44:13,126.9721401,37.5696647
메가박스 동대문,B3,영화관,4.45,0,서울,중구,장충단로,247 굿모닝시티 쇼핑몰,jongno,1544-0070,2023-08-20 16:44:13,127.0073812,37.5668017
서울아트시네마,B3,영화관,4.37,0,서울,중구,정동길,3 경향아트힐 2층,jongno,02-741-9782,2023-08-20 16:44:13,126.9700447,37.5681882
CGV 명동,B3,영화관,4.39,381,서울,중구,명동길,14 Noon Square,jongno,1544-1122,2023-08-20 16:44:13,126.9828804,37.5634327
청춘극장,B3,영화관,4.38,0,서울,중구,새문안로,22 문화일보홀,jongno,02-739-5422,2023-08-20 16:44:13,126.9686270,37.5670972
허리우드극장,B3,영화관,4.07,81,서울,종로구,삼일대로,428,jongno,정보 없음,2023-08-20 16:44:13,126.9879193,37.5727653
브로드웨이아트홀 2관,B3,공연장,정보 없음,105,서울,종로구,대학로,132 형원빌딩,jongno,정보 없음,2023-08-20 16:44:13,127.0021216,37.5830938
바다극장,B3,영화관,정보 없음,0,서울,종로구,청계천로,187,jongno,정보 없음,2023-08-20 16:44:13,126.9985011,37.5693625
명보아트시네마,B3,영화관,정보 없음,39,서울,중구,마른내로,47 명보아트홀 6층,jongno,02-2273-5234,2023-08-20 16:44:13,126.9932319,37.5647074
에무시네마,B3,영화관,4.58,919,서울,종로구,경희궁1가길,7 복합문화공간 에무 2층,jongno,02-730-5604,2023-08-20 16:44:13,126.9690345,37.5720718
서울노인복지센터디지털상영관,B3,영화관,4.58,919,서울,종로구,삼일대로,467,jongno,정보 없음,2023-08-20 16:44:13,126.9859151,37.5759437
하이퍼텍나다(폐관),B3,영화관,4.42,31,서울,종로구,동숭길,122,jongno,정보 없음,2023-08-20 16:44:13,127.0037349,37.5836998
CGV 명동역,B3,영화관,4.42,31,서울,중구,퇴계로,123 하이해리엇,jongno,1544-1122,2023-08-20 16:44:13,126.9853496,37.5612886
대한극장,B3,영화관,4.38,0,서울,중구,퇴계로,212 대한극장,jongno,02-3393-3500,2023-08-20 16:44:13,126.9953587,37.5610797
코리아극장,B3,영화관,4.4,0,서울,중구,명동길,26,jongno,정보 없음,2023-08-20 16:44:13,126.9837745,37.5634545
청계극장 매점,B3,영화관,4.53,212,서울,종로구,종로50다길,20,jongno,02-764-4260,2023-08-20 16:44:13,127.0118106,37.5702675
충무로영상센터 오재미동,B3,영화관,정보 없음,57,서울,중구,퇴계로,214 충무로역사 지하1층,jongno,02-777-0421,2023-08-20 16:44:13,126.9942075,37.5612891
오픈시네마,B3,영화관,4.19,97,서울,중구,남대문시장길,25-8,jongno,02-752-3508,2023-08-20 16:44:13,126.9774979,37.5604879
을지영화관,B3,장소대여,4.19,97,서울,중구,을지로12길,5 동화빌딩 2층 203호,jongno,0507-1379-8680,2023-08-20 16:44:13,126.9914076,37.5659658
복합문화공간 에무,B3,복합문화공간,4.33,554,서울,종로구,경희궁1가길,7,jongno,02-730-5515,2023-08-20 16:44:13,126.9690345,37.5720718
